LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -309760.0, -1.0, 3097600, -3764.0, -1.0, 37640, 12865.0, 90304.0, 774400,
1, 257.0, 3455.0, 200704, 193.0, 256.0, 4096, 511.0, 3709.0, 200704, -80282.0, -1.0, 802820, -1639.0, -1.0, 16390, 3901.0, 23971.0, 200704,
2, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -223949.0, -1.0, 2239490, -14746.0, -1.0, 147460, 11045.0, 67032.0, 559872,
3, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -80282.0, -1.0, 802820, -1639.0, -1.0, 16390, 3901.0, 84182.0, 802816,
4, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -80282.0, -1.0, 802820, -1639.0, -1.0, 16390, 3901.0, 84182.0, 802816,
5, 257.0, 3647.0, 802816, 1.0, 256.0, 16384, 511.0, 3709.0, 200704, -80282.0, -1.0, 802820, -6554.0, -1.0, 65540, 3901.0, 23971.0, 200704,
6, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -223949.0, -1.0, 2239490, -14746.0, -1.0, 147460, 11045.0, 67032.0, 559872,
7, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -80282.0, -1.0, 802820, -1639.0, -1.0, 16390, 3901.0, 84182.0, 802816,
8, 257.0, 3647.0, 802816, 1.0, 256.0, 16384, 511.0, 3709.0, 200704, -80282.0, -1.0, 802820, -6554.0, -1.0, 65540, 3901.0, 23971.0, 200704,
9, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -223949.0, -1.0, 2239490, -14746.0, -1.0, 147460, 11045.0, 67032.0, 559872,
10, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, -80282.0, -1.0, 802820, -1639.0, -1.0, 16390, 3901.0, 84182.0, 802816,
11, 257.0, 1322.0, 215296, 1.0, 256.0, 32768, 511.0, 1478.0, 107648, -21530.0, -1.0, 215300, -6554.0, -1.0, 65540, 1606.0, 12370.0, 107648,
12, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -86528.0, -1.0, 865280, -29492.0, -1.0, 294920, 7209.0, 50472.0, 432640,
13, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, -20071.0, -1.0, 200710, -6554.0, -1.0, 65540, 3099.0, 43239.0, 401408,
14, 257.0, 2929.0, 430592, 1.0, 1863.0, 131072, 511.0, 3213.0, 430592, -21530.0, -1.0, 215300, -13108.0, -1.0, 131080, 3213.0, 46272.0, 430592,
15, 257.0, 2845.0, 401408, 1.0, 1806.0, 65536, 511.0, 2971.0, 200704, -40141.0, -1.0, 401410, -13108.0, -1.0, 131080, 3099.0, 23169.0, 200704,
16, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -86528.0, -1.0, 865280, -29492.0, -1.0, 294920, 7209.0, 50472.0, 432640,
17, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, -20071.0, -1.0, 200710, -6554.0, -1.0, 65540, 3099.0, 43239.0, 401408,
18, 257.0, 2845.0, 401408, 1.0, 1806.0, 65536, 511.0, 2971.0, 200704, -40141.0, -1.0, 401410, -13108.0, -1.0, 131080, 3099.0, 23169.0, 200704,
19, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -86528.0, -1.0, 865280, -29492.0, -1.0, 294920, 7209.0, 50472.0, 432640,
20, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, -20071.0, -1.0, 200710, -6554.0, -1.0, 65540, 3099.0, 43239.0, 401408,
21, 257.0, 2845.0, 401408, 1.0, 1806.0, 65536, 511.0, 2971.0, 200704, -40141.0, -1.0, 401410, -13108.0, -1.0, 131080, 3099.0, 23169.0, 200704,
22, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -86528.0, -1.0, 865280, -29492.0, -1.0, 294920, 7209.0, 50472.0, 432640,
23, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, -20071.0, -1.0, 200710, -6554.0, -1.0, 65540, 3099.0, 43239.0, 401408,
24, 257.0, 1711.0, 115200, 1.0, 1247.0, 131072, 511.0, 1981.0, 115200, -11520.0, -1.0, 115200, -13108.0, -1.0, 131080, 1981.0, 13500.0, 115200,
25, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -33178.0, -1.0, 331780, -58983.0, -1.0, 589830, 8189.0, 41366.0, 331776,
26, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -5018.0, -1.0, 50180, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
27, 257.0, 7657.0, 460800, 1.0, 7193.0, 524288, 511.0, 7927.0, 460800, -11520.0, -1.0, 115200, -52429.0, -1.0, 524290, 7927.0, 54006.0, 460800,
28, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -20071.0, -1.0, 200710, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
29, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -33178.0, -1.0, 331780, -58983.0, -1.0, 589830, 8189.0, 41366.0, 331776,
30, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -5018.0, -1.0, 50180, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
31, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -20071.0, -1.0, 200710, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
32, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -33178.0, -1.0, 331780, -58983.0, -1.0, 589830, 8189.0, 41366.0, 331776,
33, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -5018.0, -1.0, 50180, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
34, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -20071.0, -1.0, 200710, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
35, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -33178.0, -1.0, 331780, -58983.0, -1.0, 589830, 8189.0, 41366.0, 331776,
36, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -5018.0, -1.0, 50180, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
37, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -20071.0, -1.0, 200710, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
38, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -33178.0, -1.0, 331780, -58983.0, -1.0, 589830, 8189.0, 41366.0, 331776,
39, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -5018.0, -1.0, 50180, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
40, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -20071.0, -1.0, 200710, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
41, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -33178.0, -1.0, 331780, -58983.0, -1.0, 589830, 8189.0, 41366.0, 331776,
42, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, -5018.0, -1.0, 50180, -26215.0, -1.0, 262150, 3847.0, 23917.0, 200704,
43, 257.0, 6376.0, 131072, 1.0, 6066.0, 524288, 511.0, 6639.0, 131072, -6554.0, -1.0, 65540, -52429.0, -1.0, 524290, 6639.0, 19746.0, 131072,
