LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -314573.0, -1.0, 3145730, -2560.0, -1.0, 25600, 27704.0, 113908.0, 862048,
1, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -314573.0, -1.0, 3145730, -2560.0, -1.0, 25600, 27704.0, 113908.0, 862048,
2, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -314573.0, -1.0, 3145730, -2560.0, -1.0, 25600, 27704.0, 113908.0, 862048,
3, 257.0, 951941.0, 10153600, 1.0, 945570.0, 51200, 511.0, 952201.0, 1421504, -314573.0, 943721.0, 12582920, -40960.0, -1.0, 409600, 639012.0, 989717.0, 1421504,
4, 257.0, 951941.0, 10153600, 1.0, 945570.0, 51200, 511.0, 952201.0, 1421504, -314573.0, 943721.0, 12582920, -40960.0, -1.0, 409600, 639012.0, 989717.0, 1421504,
5, 257.0, 951941.0, 10153600, 1.0, 945570.0, 51200, 511.0, 952201.0, 1421504, -314573.0, 943721.0, 12582920, -40960.0, -1.0, 409600, 639012.0, 989717.0, 1421504,
6, 257.0, 22252.0, 197892, 248.0, 256.0, 144, 511.0, 22513.0, 351808, -314573.0, -1.0, 3145730, -231.0, -1.0, 2310, 22753.0, 57933.0, 351808,
7, 257.0, 5635.0, 753984, 113.0, 256.0, 4608, 511.0, 5777.0, 167552, -134042.0, -1.0, 1340420, -3687.0, -1.0, 36870, 6001.0, 22756.0, 167552,
8, 257.0, 3413.0, 339840, 1.0, 2202.0, 18432, 511.0, 3699.0, 151040, -60416.0, -1.0, 604160, -7373.0, -1.0, 73730, 3891.0, 18994.0, 151040,
9, 257.0, 2547.0, 133632, 1.0, 2252.0, 73728, 511.0, 2865.0, 89088, -17818.0, -1.0, 178180, -14746.0, -1.0, 147460, 2993.0, 11901.0, 89088,
10, 257.0, 3188.0, 78732, 230.0, 256.0, 1728, 511.0, 3489.0, 186624, -74650.0, -1.0, 746500, -692.0, -1.0, 6920, 3681.0, 22343.0, 186624,
11, 257.0, 9963.0, 1557504, 1.0, 7196.0, 36864, 511.0, 10217.0, 519168, -207668.0, -1.0, 2076680, -14746.0, -1.0, 147460, 10409.0, 62325.0, 519168,
12, 257.0, 6572.0, 720000, 1.0, 5820.0, 147456, 511.0, 6826.0, 400000, -80000.0, -1.0, 800000, -29492.0, -1.0, 294920, 6954.0, 46953.0, 400000,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 294912, 511.0, 4549.0, 184320, -18432.0, -1.0, 184320, -29492.0, -1.0, 294920, 4549.0, 22980.0, 184320,
14, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, -5760.0, -1.0, 57600, -117965.0, -1.0, 1179650, 14237.0, 25756.0, 115200,
15, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 121945.0, 3154176, -314573.0, -1.0, 3145730, -692.0, -1.0, 6920, 16926.0, 227839.0, 3154176,
