LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 253790.0, 2693900, 157.0, 256.0, 3200, 511.0, 253976.0, 862048, -125830.0, 251661.0, 3774900, -2560.0, -1.0, 25600, 254200.0, 340404.0, 862048,
1, 257.0, 253790.0, 2693900, 157.0, 256.0, 3200, 511.0, 253976.0, 862048, -125830.0, 251661.0, 3774900, -2560.0, -1.0, 25600, 254200.0, 340404.0, 862048,
2, 257.0, 253790.0, 2693900, 157.0, 256.0, 3200, 511.0, 253976.0, 862048, -125830.0, 251661.0, 3774900, -2560.0, -1.0, 25600, 254200.0, 340404.0, 862048,
3, 257.0, 1202483.0, 10153600, 1.0, 1196112.0, 51200, 511.0, 1202743.0, 1421504, -301609.0, 904829.0, 12064360, -40960.0, -1.0, 409600, 1194359.0, 1227295.0, 1421504,
4, 257.0, 1202483.0, 10153600, 1.0, 1196112.0, 51200, 511.0, 1202743.0, 1421504, -301609.0, 904829.0, 12064360, -40960.0, -1.0, 409600, 1194359.0, 1227295.0, 1421504,
5, 257.0, 1202483.0, 10153600, 1.0, 1196112.0, 51200, 511.0, 1202743.0, 1421504, -301609.0, 904829.0, 12064360, -40960.0, -1.0, 409600, 1194359.0, 1227295.0, 1421504,
6, 257.0, 22252.0, 197892, 248.0, 256.0, 144, 511.0, 22513.0, 351808, -125830.0, -1.0, 1258300, -231.0, -1.0, 2310, 22753.0, 57933.0, 351808,
7, 257.0, 5635.0, 753984, 113.0, 256.0, 4608, 511.0, 5777.0, 167552, -125830.0, -1.0, 1258300, -3687.0, -1.0, 36870, 6001.0, 22756.0, 167552,
8, 257.0, 3413.0, 339840, 1.0, 2202.0, 18432, 511.0, 3699.0, 151040, -60416.0, -1.0, 604160, -7373.0, -1.0, 73730, 3891.0, 18994.0, 151040,
9, 257.0, 2547.0, 133632, 1.0, 2252.0, 73728, 511.0, 2865.0, 89088, -17818.0, -1.0, 178180, -14746.0, -1.0, 147460, 2993.0, 11901.0, 89088,
10, 257.0, 3188.0, 78732, 230.0, 256.0, 1728, 511.0, 3489.0, 186624, -74650.0, -1.0, 746500, -692.0, -1.0, 6920, 3681.0, 22343.0, 186624,
11, 257.0, 9963.0, 1557504, 1.0, 7196.0, 36864, 511.0, 10217.0, 519168, -183643.0, -1.0, 1836430, -14746.0, -1.0, 147460, 10409.0, 62325.0, 519168,
12, 257.0, 6572.0, 720000, 1.0, 5820.0, 147456, 511.0, 6826.0, 400000, -80000.0, -1.0, 800000, -29492.0, -1.0, 294920, 6954.0, 46953.0, 400000,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 294912, 511.0, 4549.0, 184320, -18432.0, -1.0, 184320, -29492.0, -1.0, 294920, 4549.0, 22980.0, 184320,
14, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, -5760.0, -1.0, 57600, -117965.0, -1.0, 1179650, 14237.0, 25756.0, 115200,
15, 257.0, 207480.0, 1330668, 230.0, 256.0, 1728, 511.0, 207771.0, 3154176, -125830.0, 125830.0, 2516600, -692.0, -1.0, 6920, 46417.0, 229779.0, 3154176,
16, 257.0, 757747.0, 6969600, 1.0, 509650.0, 73728, 511.0, 758065.0, 4646400, -125830.0, 629154.0, 7549800, -14746.0, -1.0, 147460, 507940.0, 929231.0, 4646400,
17, 257.0, 257555.0, 3359232, 1.0, 254512.0, 294912, 511.0, 257937.0, 3732480, -125830.0, 251661.0, 3774900, -29492.0, -1.0, 294920, 253933.0, 337583.0, 3732480,
18, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -155751.0, -1.0, 1557510, -117965.0, -1.0, 1179650, 19659.0, 105430.0, 3115008,
19, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -66356.0, -1.0, 663560, -235930.0, -1.0, 2359300, 32759.0, 165469.0, 1327104,
20, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -11520.0, -1.0, 115200, -235930.0, -1.0, 2359300, 28475.0, 51514.0, 230400,
21, 257.0, 207480.0, 1330668, 230.0, 256.0, 1728, 511.0, 207771.0, 3154176, -125830.0, 125830.0, 2516600, -692.0, -1.0, 6920, 46417.0, 229779.0, 3154176,
22, 257.0, 757747.0, 6969600, 1.0, 509650.0, 73728, 511.0, 758065.0, 4646400, -125830.0, 629154.0, 7549800, -14746.0, -1.0, 147460, 507940.0, 929231.0, 4646400,
23, 257.0, 257555.0, 3359232, 1.0, 254512.0, 294912, 511.0, 257937.0, 3732480, -125830.0, 251661.0, 3774900, -29492.0, -1.0, 294920, 253933.0, 337583.0, 3732480,
24, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -155751.0, -1.0, 1557510, -117965.0, -1.0, 1179650, 19659.0, 105430.0, 3115008,
25, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -66356.0, -1.0, 663560, -235930.0, -1.0, 2359300, 32759.0, 165469.0, 1327104,
26, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -11520.0, -1.0, 115200, -235930.0, -1.0, 2359300, 28475.0, 51514.0, 230400,
27, 257.0, 246338.0, 1778700, 110.0, 256.0, 9408, 511.0, 246531.0, 774400, -125830.0, 125830.0, 2516600, -3764.0, -1.0, 37640, 246723.0, 324162.0, 774400,
28, 257.0, 25179.0, 2764800, 1.0, 24412.0, 153600, 511.0, 25273.0, 350208, -280167.0, -1.0, 2801670, -122880.0, -1.0, 1228800, 25497.0, 60517.0, 350208,
29, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, -20071.0, -1.0, 200710, -4916.0, -1.0, 49160, 1549.0, 6566.0, 50176,
30, 257.0, 43045.0, 1280000, 1.0, 42690.0, 614400, 511.0, 43091.0, 240000, -128000.0, -1.0, 1280000, -314573.0, -1.0, 3145730, 38681.0, 45972.0, 240009,
31, 257.0, 1669.0, 100352, 1.0, 1218.0, 98304, 511.0, 1859.0, 75264, -10036.0, -1.0, 100360, -13108.0, -1.0, 131080, 1923.0, 9449.0, 75264,
32, 257.0, 2813.0, 40768, 1.0, 2701.0, 212992, 511.0, 3259.0, 50176, -5018.0, -1.0, 50180, -21300.0, -1.0, 213000, 3259.0, 8276.0, 50176,
33, 257.0, 63103.0, 187200, 1.0, 63031.0, 2662400, 511.0, 63421.0, 94464, -18893.0, -1.0, 188930, -314573.0, -1.0, 3145730, 63549.0, 72995.0, 94464,
