LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -12583.0, -1.0, 112700, -6292.0, -1.0, 3200, 27704.0, 31071.0, 862048,
1, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -12583.0, -1.0, 112700, -6292.0, -1.0, 3200, 27704.0, 31071.0, 862048,
2, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -12583.0, -1.0, 112700, -6292.0, -1.0, 3200, 27704.0, 31071.0, 862048,
3, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, -88080.0, -1.0, 862048, -6292.0, -1.0, 51200, 37124.0, 51240.0, 1421759,
4, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, -88080.0, -1.0, 862048, -6292.0, -1.0, 51200, 37124.0, 51240.0, 1421759,
5, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, -88080.0, -1.0, 862048, -6292.0, -1.0, 51200, 37124.0, 51240.0, 1421759,
6, 257.0, 22252.0, 197892, 248.0, 256.0, 144, 511.0, 22513.0, 351808, -6292.0, -1.0, 23040, -6292.0, -1.0, 144, 22753.0, 24127.0, 351808,
7, 257.0, 5635.0, 753984, 113.0, 256.0, 4608, 511.0, 5777.0, 167552, -12583.0, -1.0, 92160, -6292.0, -1.0, 4608, 6001.0, 6655.0, 167552,
8, 257.0, 3413.0, 339840, 1.0, 2202.0, 18432, 511.0, 3699.0, 151040, -6292.0, -1.0, 46080, -6292.0, -1.0, 18432, 3891.0, 4480.0, 151040,
9, 257.0, 2547.0, 133632, 1.0, 2252.0, 73728, 511.0, 2865.0, 89088, -6292.0, -1.0, 23040, -12583.0, -1.0, 73728, 2993.0, 3340.0, 89088,
10, 257.0, 3188.0, 78732, 230.0, 256.0, 1728, 511.0, 3489.0, 186624, -6292.0, -1.0, 34992, -6292.0, -1.0, 1728, 3681.0, 4409.0, 186624,
11, 257.0, 9963.0, 1557504, 1.0, 7196.0, 36864, 511.0, 10217.0, 519168, -18875.0, -1.0, 186624, -6292.0, -1.0, 36864, 10409.0, 12436.0, 519168,
12, 257.0, 6572.0, 720000, 1.0, 5820.0, 147456, 511.0, 6826.0, 400000, -12583.0, -1.0, 93312, -18875.0, -1.0, 147456, 6954.0, 8516.0, 400000,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 294912, 511.0, 4549.0, 184320, -6292.0, -1.0, 25088, -31457.0, -1.0, 294912, 4549.0, 5268.0, 184320,
14, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, -6292.0, -1.0, 12544, -119537.0, -1.0, 1179648, 14237.0, 14686.0, 115200,
15, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 49857.0, 3154176, -18875.0, -1.0, 150528, -6292.0, -1.0, 1728, 16926.0, 50082.0, 3154431,
16, 257.0, 38151.0, 6969600, 1.0, 25988.0, 73728, 511.0, 38469.0, 4646400, -81789.0, -1.0, 802816, -12583.0, -1.0, 73728, 8766.0, 40363.0, 4646655,
17, 257.0, 18027.0, 3359232, 1.0, 14984.0, 294912, 511.0, 18409.0, 3732480, -44040.0, -1.0, 401408, -31457.0, -1.0, 294912, 5500.0, 20701.0, 3732735,
18, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -25166.0, -1.0, 200704, -119537.0, -1.0, 1179648, 9305.0, 29931.0, 3115263,
19, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -12583.0, -1.0, 100352, -239074.0, -1.0, 2359296, 26176.0, 33847.0, 1327359,
20, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -6292.0, -1.0, 25088, -239074.0, -1.0, 2359296, 28475.0, 29374.0, 230400,
21, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 49857.0, 3154176, -18875.0, -1.0, 150528, -6292.0, -1.0, 1728, 16926.0, 50082.0, 3154431,
22, 257.0, 38151.0, 6969600, 1.0, 25988.0, 73728, 511.0, 38469.0, 4646400, -81789.0, -1.0, 802816, -12583.0, -1.0, 73728, 8766.0, 40363.0, 4646655,
23, 257.0, 18027.0, 3359232, 1.0, 14984.0, 294912, 511.0, 18409.0, 3732480, -44040.0, -1.0, 401408, -31457.0, -1.0, 294912, 5500.0, 20701.0, 3732735,
24, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -25166.0, -1.0, 200704, -119537.0, -1.0, 1179648, 9305.0, 29931.0, 3115263,
25, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, -12583.0, -1.0, 100352, -239074.0, -1.0, 2359296, 26176.0, 33847.0, 1327359,
26, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, -6292.0, -1.0, 25088, -239074.0, -1.0, 2359296, 28475.0, 29374.0, 230400,
27, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 12865.0, 15889.0, 774400,
28, 257.0, 25179.0, 2764800, 1.0, 24412.0, 153600, 511.0, 25273.0, 350208, -18875.0, -1.0, 150528, -18875.0, -1.0, 153600, 25497.0, 26864.0, 350208,
29, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, -18875.0, -1.0, 150528, -6292.0, -1.0, 12288, 1549.0, 1744.0, 50176,
30, 257.0, 43045.0, 1280000, 1.0, 42690.0, 614400, 511.0, 43091.0, 240000, -12583.0, -1.0, 100352, -62914.0, -1.0, 614400, 43299.0, 44236.0, 240000,
31, 257.0, 1669.0, 100352, 1.0, 1218.0, 98304, 511.0, 1859.0, 75264, -12583.0, -1.0, 100352, -12583.0, -1.0, 98304, 1923.0, 2216.0, 75264,
32, 257.0, 2813.0, 40768, 1.0, 2701.0, 212992, 511.0, 3259.0, 50176, -6292.0, -1.0, 40768, -25166.0, -1.0, 212992, 3259.0, 3454.0, 50176,
33, 257.0, 63103.0, 187200, 1.0, 63031.0, 2662400, 511.0, 63421.0, 94464, -6292.0, -1.0, 40768, -270531.0, -1.0, 2662400, 63549.0, 63917.0, 94464,
34, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, -18875.0, -1.0, 150528, -6292.0, -1.0, 9408, 12865.0, 15889.0, 774400,
