LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -204800.0, -1.0, 112700, -204800.0, -1.0, 3200, 27704.0, 31071.0, 862048,
1, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -204800.0, -1.0, 112700, -204800.0, -1.0, 3200, 27704.0, 31071.0, 862048,
2, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, -204800.0, -1.0, 112700, -204800.0, -1.0, 3200, 27704.0, 31071.0, 862048,
3, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, -204800.0, -1.0, 862048, -204800.0, -1.0, 51200, 49783.0, 55335.0, 1421504,
4, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, -204800.0, -1.0, 862048, -204800.0, -1.0, 51200, 49783.0, 55335.0, 1421504,
5, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, -204800.0, -1.0, 862048, -204800.0, -1.0, 51200, 49783.0, 55335.0, 1421504,
6, 257.0, 22252.0, 197892, 248.0, 256.0, 144, 511.0, 22513.0, 351808, -204800.0, -1.0, 23040, -204800.0, -1.0, 144, 22753.0, 24127.0, 351808,
7, 257.0, 5635.0, 753984, 113.0, 256.0, 4608, 511.0, 5777.0, 167552, -204800.0, -1.0, 92160, -204800.0, -1.0, 4608, 6001.0, 6655.0, 167552,
8, 257.0, 3413.0, 339840, 1.0, 2202.0, 18432, 511.0, 3699.0, 151040, -204800.0, -1.0, 46080, -204800.0, -1.0, 18432, 3891.0, 4480.0, 151040,
9, 257.0, 2547.0, 133632, 1.0, 2252.0, 73728, 511.0, 2865.0, 89088, -204800.0, -1.0, 23040, -204800.0, -1.0, 73728, 2993.0, 3340.0, 89088,
10, 257.0, 3188.0, 78732, 230.0, 256.0, 1728, 511.0, 3489.0, 186624, -204800.0, -1.0, 34992, -204800.0, -1.0, 1728, 3681.0, 4409.0, 186624,
11, 257.0, 9963.0, 1557504, 1.0, 7196.0, 36864, 511.0, 10217.0, 519168, -204800.0, -1.0, 186624, -204800.0, -1.0, 36864, 10409.0, 12436.0, 519168,
12, 257.0, 6572.0, 720000, 1.0, 5820.0, 147456, 511.0, 6826.0, 400000, -204800.0, -1.0, 93312, -204800.0, -1.0, 147456, 6954.0, 8516.0, 400000,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 294912, 511.0, 4549.0, 184320, -204800.0, -1.0, 25088, -204800.0, -1.0, 294912, 4549.0, 5268.0, 184320,
14, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, -204800.0, -1.0, 12544, -204800.0, -1.0, 1179648, 14237.0, 14686.0, 115200,
15, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 49857.0, 3154176, -204800.0, -1.0, 150528, -204800.0, -1.0, 1728, 50049.0, 62369.0, 3154176,
16, 257.0, 38151.0, 6969600, 1.0, 25988.0, 73728, 511.0, 38469.0, 4646400, -204800.0, -1.0, 802816, -204800.0, -1.0, 73728, 38597.0, 56746.0, 4646400,
17, 257.0, 18027.0, 3359232, 1.0, 14984.0, 294912, 511.0, 18409.0, 3732480, -204800.0, -1.0, 401408, -204800.0, -1.0, 294912, 18409.0, 32988.0, 3732480,
18, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, -204800.0, -1.0, 200704, -204800.0, -1.0, 1179648, 25955.0, 38122.0, 3115008,
