LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, 156.0, 27227.0, 1168964, 56.0, 250.0, 3200, 558.0, 27708.0, 862303,
1, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, 156.0, 27227.0, 1168964, 56.0, 250.0, 3200, 558.0, 27708.0, 862303,
2, 257.0, 27294.0, 2693900, 157.0, 256.0, 3200, 511.0, 27480.0, 862048, 156.0, 27227.0, 1168964, 56.0, 250.0, 3200, 558.0, 27708.0, 862303,
3, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, 156.0, 49268.0, 10147520, -100.0, 42922.0, 51200, 558.0, 49784.0, 1421759,
4, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, 156.0, 49268.0, 10147520, -100.0, 42922.0, 51200, 558.0, 49784.0, 1421759,
5, 257.0, 49299.0, 10153600, 1.0, 42928.0, 51200, 511.0, 49559.0, 1421504, 156.0, 49268.0, 10147520, -100.0, 42922.0, 51200, 558.0, 49784.0, 1421759,
6, 257.0, 22252.0, 197892, 248.0, 256.0, 144, 511.0, 22513.0, 351808, 156.0, 22067.0, 25281, -16.0, -1.0, 144, 582.0, 22756.0, 352063,
7, 257.0, 5635.0, 753984, 113.0, 256.0, 4608, 511.0, 5777.0, 167552, 156.0, 5586.0, 676693, 12.0, 237.0, 4608, 558.0, 6004.0, 167807,
8, 257.0, 3413.0, 339840, 1.0, 2202.0, 18432, 511.0, 3699.0, 151040, 156.0, 3377.0, 339674, -100.0, 2196.0, 18432, 555.0, 3893.0, 151295,
9, 257.0, 2547.0, 133632, 1.0, 2252.0, 73728, 511.0, 2865.0, 89088, 156.0, 2512.0, 133632, -100.0, 2247.0, 73728, 555.0, 2997.0, 89343,
10, 257.0, 3188.0, 78732, 230.0, 256.0, 1728, 511.0, 3489.0, 186624, 156.0, 3101.0, 45966, 129.0,  245.0, 1728, 555.0, 3682.0, 186879,
11, 257.0, 9963.0, 1557504, 1.0, 7196.0, 36864, 511.0, 10217.0, 519168, 156.0, 9932.0, 1557504, -100.0, 7183.0, 36864, 555.0, 10413.0, 519423,
12, 257.0, 6572.0, 720000, 1.0, 5820.0, 147456, 511.0, 6826.0, 400000, 156.0, 6572.0, 720000, -100.0, 5817.0, 147456, 555.0, 6957.0, 400255,
13, 257.0, 4167.0, 165888, 1.0, 3896.0, 294912, 511.0, 4549.0, 184320, 156.0, 4126.0, 165888, -100.0, 3893.0, 294912, 555.0, 4553.0, 184575,
14, 257.0, 13983.0, 115200, 1.0, 13703.0, 1179648, 511.0, 14237.0, 115200, 156.0, 13964.0, 115200, -100.0, 13701.0, 1179648, 563.0, 14239.0, 115455,
15, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 49857.0, 3154176, 156.0, 49477.0, 464720, 129.0, 245.0, 1728, 555.0, 50050.0, 3154431,
16, 257.0, 38151.0, 6969600, 1.0, 25988.0, 73728, 511.0, 38469.0, 4646400, 156.0, 38117.0, 6969600, -100.0, 25983.0, 73728, 555.0, 38599.0, 4646655,
17, 257.0, 18027.0, 3359232, 1.0, 14984.0, 294912, 511.0, 18409.0, 3732480, 156.0, 18006.0, 3359232, -100.0, 14981.0, 294912, 555.0, 18413.0, 3732735,
18, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, 156.0, 25698.0, 3115008, -100.0, 24768.0, 1179648, 555.0, 25959.0, 3115263,
19, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, 156.0, 32492.0, 1327104, -100.0, 32105.0, 2359296, 555.0, 32763.0, 1327359,
20, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, 156.0, 28193.0, 230400, -100.0, 27940.0, 2359296, 563.0, 28479.0, 230655,
21, 257.0, 49566.0, 1330668, 230.0, 256.0, 1728, 511.0, 49857.0, 3154176, 156.0, 49477.0, 464720, 129.0, 245.0, 1728, 555.0, 50050.0, 3154431,
22, 257.0, 38151.0, 6969600, 1.0, 25988.0, 73728, 511.0, 38469.0, 4646400, 156.0, 38117.0, 6969600, -100.0, 25983.0, 73728, 555.0, 38599.0, 4646655,
23, 257.0, 18027.0, 3359232, 1.0, 14984.0, 294912, 511.0, 18409.0, 3732480, 156.0, 18006.0, 3359232, -100.0, 14981.0, 294912, 555.0, 18413.0, 3732735,
24, 257.0, 25701.0, 3115008, 1.0, 24770.0, 1179648, 511.0, 25955.0, 3115008, 156.0, 25698.0, 3115008, -100.0, 24768.0, 1179648, 555.0, 25959.0, 3115263,
25, 257.0, 32505.0, 1327104, 1.0, 32106.0, 2359296, 511.0, 32759.0, 1327104, 156.0, 32492.0, 1327104, -100.0, 32105.0, 2359296, 555.0, 32763.0, 1327359,
26, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, 156.0, 28193.0, 230400, -100.0, 27940.0, 2359296, 563.0, 28479.0, 230655,
27, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, 156.0, 12406.0, 1080990, 9.0, 250.0, 9408, 555.0, 12866.0, 774655,
28, 257.0, 25179.0, 2764800, 1.0, 24412.0, 153600, 511.0, 25273.0, 350208, 156.0, 25140.0, 2764800, -100.0, 24394.0, 153600, 558.0, 25501.0, 350463,
29, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, 156.0, 1199.0, 150528, -36.0, 252.0, 12288, 555.0, 1553.0, 50431,
30, 257.0, 43045.0, 1280000, 1.0, 42690.0, 614400, 511.0, 43091.0, 240000, 156.0, 43045.0, 1280000, -100.0, 42682.0, 614400, 555.0, 43301.0, 240255,
31, 257.0, 1669.0, 100352, 1.0, 1218.0, 98304, 511.0, 1859.0, 75264, 156.0, 1643.0, 100352, -100.0, 1217.0, 98304, 555.0, 1925.0, 75519,
32, 257.0, 2813.0, 40768, 1.0, 2701.0, 212992, 511.0, 3259.0, 50176, 156.0, 2775.0, 40768, -100.0, 2698.0, 212992, 555.0, 3263.0, 50431,
33, 257.0, 63103.0, 187200, 1.0, 63031.0, 2662400, 511.0, 63421.0, 94464, 156.0, 63077.0, 187200, -100.0, 63028.0, 2662400, 628.0, 63550.0, 94719,
34, 257.0, 12480.0, 1778700, 110.0, 256.0, 9408, 511.0, 12673.0, 774400, 156.0, 12406.0, 1080990, 9.0, 250.0, 9408, 555.0, 12866.0, 774655,
35, 257.0, 25179.0, 2764800, 1.0, 24412.0, 153600, 511.0, 25273.0, 350208, 156.0, 25140.0, 2764800, -100.0, 24394.0, 153600, 558.0, 25501.0, 350463,
36, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, 156.0, 1199.0, 150528, -36.0, 252.0, 12288, 555.0, 1553.0, 50431,
37, 257.0, 43045.0, 1280000, 1.0, 42690.0, 614400, 511.0, 43091.0, 240000, 156.0, 43045.0, 1280000, -100.0, 42682.0, 614400, 555.0, 43301.0, 240255,
38, 257.0, 1669.0, 100352, 1.0, 1218.0, 98304, 511.0, 1859.0, 75264, 156.0, 1643.0, 100352, -100.0, 1217.0, 98304, 555.0, 1925.0, 75519,
39, 257.0, 2813.0, 40768, 1.0, 2701.0, 212992, 511.0, 3259.0, 50176, 156.0, 2775.0, 40768, -100.0, 2698.0, 212992, 555.0, 3263.0, 50431,
40, 257.0, 63103.0, 187200, 1.0, 63031.0, 2662400, 511.0, 63421.0, 94464, 156.0, 63077.0, 187200, -100.0, 63028.0, 2662400, 628.0, 63550.0, 94719,
41, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, 156.0, 10566.0, 1679593, -100.0, 7607.0, 36864, 555.0, 11048.0, 560127,
42, 257.0, 1130.0, 53824, 193.0, 256.0, 16384, 511.0, 1606.0, 215296, 156.0, 1112.0, 50176, 92.0, 255.0, 16384, 555.0, 1607.0, 215551,
43, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, 156.0, 6789.0, 778752, -100.0, 6021.0, 147456, 555.0, 7211.0, 432895,
44, 257.0, 1583.0, 57600, 129.0, 1247.0, 65536, 511.0, 1981.0, 115200, 156.0, 1565.0, 50176, 28.0, 1245.0, 65536, 555.0, 1983.0, 115455,
45, 257.0, 707.0, 50176, 1.0, 256.0, 65536, 511.0, 961.0, 50176, 156.0, 689.0, 50176, -100.0, 254.0, 65536, 555.0, 965.0, 50431,
46, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, 156.0, 7897.0, 331776, -100.0, 7533.0, 589824, 555.0, 8193.0, 332031,
47, 257.0, 3056.0, 65536, 1.0, 2746.0, 262144, 511.0, 3319.0, 65536, 156.0, 3037.0, 50176, -100.0, 2746.0, 262144, 555.0, 3323.0, 65791,
48, 257.0, 3005.0, 50176, 1.0, 2701.0, 262144, 511.0, 3259.0, 50176, 156.0, 2987.0, 50176, -100.0, 2701.0, 262144, 555.0, 3263.0, 50431,
49, 257.0, 12257.0, 65536, 1.0, 11986.0, 1048576, 511.0, 12511.0, 65536, 156.0, 12216.0, 65536, -100.0, 11984.0, 1048576, 582.0, 12515.0, 65791,
50, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, 156.0, 10566.0, 1679593, -100.0, 7607.0, 36864, 555.0, 11048.0, 560127,
51, 257.0, 1130.0, 53824, 193.0, 256.0, 16384, 511.0, 1606.0, 215296, 156.0, 1112.0, 50176, 92.0, 255.0, 16384, 555.0, 1607.0, 215551,
52, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, 156.0, 6789.0, 778752, -100.0, 6021.0, 147456, 555.0, 7211.0, 432895,
53, 257.0, 1583.0, 57600, 129.0, 1247.0, 65536, 511.0, 1981.0, 115200, 156.0, 1565.0, 50176, 28.0, 1245.0, 65536, 555.0, 1983.0, 115455,
54, 257.0, 707.0, 50176, 1.0, 256.0, 65536, 511.0, 961.0, 50176, 156.0, 689.0, 50176, -100.0, 254.0, 65536, 555.0, 965.0, 50431,
55, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, 156.0, 7897.0, 331776, -100.0, 7533.0, 589824, 555.0, 8193.0, 332031,
56, 257.0, 3056.0, 65536, 1.0, 2746.0, 262144, 511.0, 3319.0, 65536, 156.0, 3037.0, 50176, -100.0, 2746.0, 262144, 555.0, 3323.0, 65791,
57, 257.0, 3005.0, 50176, 1.0, 2701.0, 262144, 511.0, 3259.0, 50176, 156.0, 2987.0, 50176, -100.0, 2701.0, 262144, 555.0, 3263.0, 50431,
58, 257.0, 12257.0, 65536, 1.0, 11986.0, 1048576, 511.0, 12511.0, 65536, 156.0, 12216.0, 65536, -100.0, 11984.0, 1048576, 582.0, 12515.0, 65791,
59, 257.0, 27846.0, 689275, 232.0, 256.0, 1600, 511.0, 28144.0, 1764544, 156.0, 27724.0, 195764, 131.0, 247.0, 1600, 555.0, 28337.0, 1764799,
60, 257.0, 83283.0, 15634944, 1.0, 56076.0, 36864, 511.0, 83537.0, 5211648, 156.0, 83241.0, 15634934, -100.0, 56063.0, 36864, 555.0, 83731.0, 5211903,
61, 257.0, 52377.0, 10857600, 1.0, 45568.0, 204800, 511.0, 52735.0, 6080256, 156.0, 52346.0, 10789504, -100.0, 45562.0, 204800, 555.0, 52866.0, 6080511,
62, 257.0, 36317.0, 7573248, 1.0, 29616.0, 147456, 511.0, 36571.0, 4207360, 156.0, 36296.0, 7573248, -100.0, 29613.0, 147456, 555.0, 36702.0, 4207615,
63, 257.0, 30816.0, 5228800, 1.0, 29056.0, 819200, 511.0, 31199.0, 5437952, 156.0, 30777.0, 5173760, -100.0, 29056.0, 819200, 555.0, 31201.0, 5438207,
64, 257.0, 19923.0, 3400704, 1.0, 18192.0, 589824, 511.0, 20177.0, 3400704, 156.0, 19886.0, 3400704, -100.0, 18189.0, 589824, 555.0, 20181.0, 3400959,
65, 257.0, 56485.0, 4723200, 1.0, 55871.0, 3276800, 511.0, 56749.0, 4723200, 156.0, 56446.0, 4595712, -100.0, 55868.0, 3276800, 555.0, 56751.0, 4723455,
66, 257.0, 38841.0, 2949120, 1.0, 38266.0, 2359296, 511.0, 39095.0, 2949120, 156.0, 38826.0, 2949120, -100.0, 38265.0, 2359296, 555.0, 39099.0, 2949375,
67, 257.0, 27846.0, 689275, 232.0, 256.0, 1600, 511.0, 28144.0, 1764544, 156.0, 27724.0, 195764, 131.0, 247.0, 1600, 555.0, 28337.0, 1764799,
68, 257.0, 83283.0, 15634944, 1.0, 56076.0, 36864, 511.0, 83537.0, 5211648, 156.0, 83241.0, 15634934, -100.0, 56063.0, 36864, 555.0, 83731.0, 5211903,
69, 257.0, 52377.0, 10857600, 1.0, 45568.0, 204800, 511.0, 52735.0, 6080256, 156.0, 52346.0, 10789504, -100.0, 45562.0, 204800, 555.0, 52866.0, 6080511,
70, 257.0, 36317.0, 7573248, 1.0, 29616.0, 147456, 511.0, 36571.0, 4207360, 156.0, 36296.0, 7573248, -100.0, 29613.0, 147456, 555.0, 36702.0, 4207615,
71, 257.0, 30816.0, 5228800, 1.0, 29056.0, 819200, 511.0, 31199.0, 5437952, 156.0, 30777.0, 5173760, -100.0, 29056.0, 819200, 555.0, 31201.0, 5438207,
72, 257.0, 19923.0, 3400704, 1.0, 18192.0, 589824, 511.0, 20177.0, 3400704, 156.0, 19886.0, 3400704, -100.0, 18189.0, 589824, 555.0, 20181.0, 3400959,
73, 257.0, 56485.0, 4723200, 1.0, 55871.0, 3276800, 511.0, 56749.0, 4723200, 156.0, 56446.0, 4595712, -100.0, 55868.0, 3276800, 555.0, 56751.0, 4723455,
74, 257.0, 38841.0, 2949120, 1.0, 38266.0, 2359296, 511.0, 39095.0, 2949120, 156.0, 38826.0, 2949120, -100.0, 38265.0, 2359296, 555.0, 39099.0, 2949375,
75, 257.0, 12863.0, 802816, 193.0, 256.0, 4096, 511.0, 13117.0, 802816, 156.0, 12824.0, 802816, 92.0, 255.0, 4096, 555.0, 13313.0, 803071,
76, 257.0, 3455.0, 200704, 193.0, 256.0, 16384, 511.0, 3901.0, 802816, 156.0, 3418.0, 200704, 92.0, 255.0, 16384, 555.0, 3905.0, 803071,
77, 257.0, 3647.0, 802816, 1.0, 256.0, 16384, 511.0, 3709.0, 200704, 156.0, 3608.0, 802816, -100.0, 250.0, 16384, 555.0, 3905.0, 200959,
78, 257.0, 1322.0, 215296, 1.0, 256.0, 32768, 511.0, 1478.0, 107648, 156.0, 1285.0, 200704, -100.0, 250.0, 32768, 555.0, 1607.0, 107903,
79, 257.0, 2717.0, 200704, 129.0, 1806.0, 65536, 511.0, 3099.0, 401408, 156.0, 2680.0, 200704, 28.0, 1804.0, 65536, 555.0, 3103.0, 401663,
80, 257.0, 2845.0, 401408, 1.0, 1806.0, 65536, 511.0, 2971.0, 200704, 156.0, 2817.0, 401408, -100.0, 1802.0, 65536, 555.0, 3103.0, 200959,
81, 257.0, 1711.0, 115200, 1.0, 1247.0, 131072, 511.0, 1981.0, 115200, 156.0, 1685.0, 100352, -100.0, 1247.0, 131072, 555.0, 1983.0, 115455,
82, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, 156.0, 3556.0, 200704, -100.0, 3142.0, 262144, 555.0, 3851.0, 200959,
83, 257.0, 7657.0, 460800, 1.0, 7193.0, 524288, 511.0, 7927.0, 460800, 156.0, 7629.0, 401408, -100.0, 7192.0, 524288, 555.0, 7931.0, 461055,
84, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, 156.0, 3556.0, 200704, -100.0, 3142.0, 262144, 555.0, 3851.0, 200959,
85, 257.0, 3593.0, 200704, 1.0, 3142.0, 262144, 511.0, 3847.0, 200704, 156.0, 3556.0, 200704, -100.0, 3142.0, 262144, 555.0, 3851.0, 200959,
86, 257.0, 6376.0, 131072, 1.0, 6066.0, 524288, 511.0, 6639.0, 131072, 156.0, 6349.0, 100352, -100.0, 6065.0, 524288, 555.0, 6643.0, 131327,
87, 257.0, 28221.0, 230400, 1.0, 27941.0, 2359296, 511.0, 28475.0, 230400, 156.0, 28193.0, 230400, -100.0, 27940.0, 2359296, 563.0, 28479.0, 230655,
88, 257.0, 12785.0, 200704, 1.0, 12481.0, 1048576, 511.0, 13039.0, 200704, 156.0, 12748.0, 200704, -100.0, 12479.0, 1048576, 555.0, 13043.0, 200959,
89, 257.0, 26296.0, 524288, 1.0, 25986.0, 2097152, 511.0, 26559.0, 524288, 156.0, 26267.0, 401408, -100.0, 25986.0, 2097152, 555.0, 26563.0, 524543,
